name,idf,imdb_score,genres,release,countries,directors,actors,summary
Star Wars: The Clone Wars 2008,https://www.imdb.com/title/tt1185834,,"['اکشن', 'انیمیشن', 'درام', 'علمی تخیلی', 'فانتزی', 'ماجراجویی']",2008,['آمریکا'],['Dave Filoni'],"['matt lanter', 'nika futterman', 'Tom Kane']",جنگ های Clone که به صورت رفت و برگشتی صورت میگیرد در کهکشان ها رخ می دهد و شوالیه های Jedi برای حفظ نظم و برقراری صلح قهرمانانه به مبارزه می پردازند. اما سیستم هایی هستند که قصد دارند جمهوری کهکشانی را به سمت تاریکی سقوط دهند...
Suicide Squad Hell to Pay 2018,https://www.imdb.com/title/tt7167602,,"['اکشن', 'انیمیشن', 'فانتزی']",2018,['آمریکا'],['sam liu'],"['christian slater', 'vanessa williams', 'billy brown']",در خلاصه داستان این فیلم انیمیشنی آمده است ، گروهی مبارز ماجراجو شامل ددشات ، کاپیتان بومرنگ و… یک شی قدرتمند را مورد هدف قرار می‎دهند که ممکن هست جان آنها را به خطر بیندازد یا حتی بگیرد و…
The Ballad of Buster Scruggs 2018,https://www.imdb.com/title/tt6412452,7.3,"['درام', 'رازآلود', 'رمانتیک', 'کمدی', 'موزیکال', 'وسترن']",2018,['آمریکا'],"['ethan coen', 'joel coen']","['tim blake nelson', 'Willie Watson', 'clancy brown']",در این فیلم شاهد شش داستان مختلف خواهیم بود که تمرکز اصلی داستان روی فردی به نام باستر اسکراگز می باشد ..
Baaghi 2016,https://www.imdb.com/title/tt4864932,,"['اکشن', 'هیجان انگیز']",2016,['هندوستان'],['sabir khan'],"['shraddha kapoor', 'tiger shroff', 'sudheer babu posani']",یک مرد مشکل دار مدت کوتاهی پس از اینکه وارد یک آکادمی هنرهای رزمی می شود، عاشق دختری می شود که رقیبش با او دوست هست... ...
Bill & Ted Face the Music,https://www.imdb.com/title/tt1086064,,[],,['آمریکا'],['Dean Parisot'],"['keanu reeves', 'Alex Winter', 'Kristen Schaal']",
Enchanted 2007,https://www.imdb.com/title/tt0461770,7.1,"['انیمیشن', 'خانوادگی', 'عاشقانه', 'فانتزی', 'کمدی', 'ماجراجویی', 'موزیکال']",2007,['آمریکا'],['Kevin Lima'],"['amy adams', 'susan sarandon', 'james marsden']",یک شاهزاده خانم از قصه های تخیلی توسط ملکه ای شرور به دنیای ما فرستاده می شود. شاهزاده «گیزل» در دنیای واقعی، بعد از ملاقات با یک وکیل خوش تیپ، کم کم نگاهش به زندگی و همینطور عشق تغییر می کند. اما آیا یک عشقی که در قصه‌هاست، در دنیای واقعی ما دوام می آورد؟
Adam Sandler: 100% Fresh 2018,https://www.imdb.com/title/tt9036126,7.5,"['آهنگ', 'استندآپ کمدی', 'کمدی']",2018,['آمریکا'],"['Nicholaus Goossen', 'steven brill']","['adam sandler', 'Rob Schneider', 'Dan Bulla']",آدام سندلر در این استندآپ کمدی با خط داستانی زیبا از کمیک، موسیقی، جاده ها و ایستگاه مترو عبور می کند تا همه آن ها را به گوش حاضران در سالن برساند…
Dave Chappelle: Sticks & Stones 2019,https://www.imdb.com/title/tt10810424,8.3,"['استندآپ کمدی', 'کمدی']",2019,['آمریکا'],['stan lathan'],['dave chappelle'],"جدیدترین برنامه ی استندآپ کمدین ستاره یعنی “دیو چپل” که توسط نت‌فلیکس منتشر شده است. ""دیو"" این بار در شهر آتلانتا برنامه‌ی ویژه استندآپ کمدی اجرا کرده است و به صورت طنز و با توپ پر به فرهنگ، بحران مواد توهم‌زا، رسوایی های ستاره های هالیوود و غیره حمله کرده است …"
Maz Jobrani Immigrant 2017,https://www.imdb.com/title/tt7164714,,"['استندآپ کمدی', 'کمدی']",2017,[],['maz jobrani'],['maz jobrani'],کمدین ایرانی “ماز جبرانی” در این استندآپ به موضوعات جالب و مسائل سیاسی فعلی می پردازد به ویژه در مورد دونالد ترامپ و سیاست های ضد مهاجرین آمریکا.
Ricky Gervais: SuperNature 2022,https://www.imdb.com/title/tt19885626,7.6,"['استندآپ کمدی', 'کمدی']",2022,"['آمریکا', 'انگلستان']",['John L. Spencer'],['ricky gervais'],استند آپ کمدی جدید کمدین معروف، ریکی جرویز درباره طبیعت با مضمون آنکه طبیعت همینطور در همین حالت فوق‌العاده است و دلیلی بر ماوراء خواندن آن نیست.
Sorry Louis C.K. 2021,https://www.imdb.com/title/tt16491756,7.7,"['استندآپ کمدی', 'کمدی']",2021,['آمریکا'],['Louis C.K.'],[],نمایش استندآپ کمدی ویژه کاملاً جدید از لوییس سی کی
Bill Burr: Live at Red Rocks 2022,https://www.imdb.com/title/tt21106500,7.6,"['استندآپ کمدی', 'کمدی', 'مستند']",2022,['آمریکا'],['Mike Binder'],['Bill Burr'],استندآپ کمدین مشهور بیل بور، در رابطه با فرهنگ فمینیسم، رفتارهای زننده همسرش برنامه خود را اجرا می کند.
