name,idf,imdb_score,crit_score,genres,release,country,language,director,actors,summ
12 Angry Men 1957,https://www.imdb.com/title/tt0050083,9,96,"['جنایی', 'درام']",1957,['ایالات متحده'],['انگلیسی'],['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",هیئت منصفه در یک محاکمه قتل در شهر نیویورک توسط یک عضو مجرد که احتیاط شکاکانه آنها را مجبور می کند تا قبل از تصمیم گیری عجولانه شواهد را با دقت بیشتری بررسی کنند.
13 Minutes 2021,https://www.imdb.com/title/tt9274670,6.7,40,"['اکشن', 'درام', 'هیجان انگیز']",2021,"['ایالات متحده آمریکا', 'کانادا']",['انگلیسی'],['Lindsay Gossling'],"['Amy Smart', 'Anne Heche', 'Thora Birch']",چهار خانواده در یک شهر هارتلند در یک روز آزمایش می شوند که یک گردباد اتفاق می افتد، مسیرها را مجبور به عبور می کند و معنای بقا را دوباره تعریف می کند.
15Minutes of War 2019,https://www.imdb.com/title/tt8060774,6.3,44,"['اکشن', 'تاریخی', 'درام']",2019,"['بلژیک', 'فرانسه']","['انگلیسی', 'فرانسوی']",['Fred Grivois'],"['Alban Lenoir', 'Olga Kurylenko', 'Sébastien Lalanne']",در اواخر دهه ی هفتاد میلادی در جیبوتی یک اتوبوس مدرسه در مرز سومالی گروگان گرفته می شود. در این بین تیم ژاندارمری ملی برای عملیات نجات به محل ارسال می شوند. اما…
1917 2019,https://www.imdb.com/title/tt8579674,8.2,78,"['اکشن', 'جنگی', 'درام']",2019,"['انگلستان', 'ایالات متحده', 'هند']","['آلمانی', 'انگلیسی', 'فرانسوی']",['Sam Mendes'],"['Daniel Mays', 'Dean-Charles Chapman', 'George MacKay']",6 آوریل 1917. در حالی که یک گردان پیاده نظام برای جنگ در اعماق قلمرو دشمن گرد هم می آیند، دو سرباز مامور می شوند تا با زمان مسابقه دهند و پیامی را ارائه کنند که 1600 مرد را از راه رفتن مستقیم به یک تله مرگبار باز می دارد.
1922 2017,https://www.imdb.com/title/tt6214928,6.2,70,"['ترسناک', 'جنایی', 'درام']",2017,"['ایالات متحده آمریکا', 'کانادا']",['انگلیسی'],['Zak Hilditch'],"['Dylan Schmid', 'Molly Parker', 'Thomas Jane']",یک کشاورز ساده و در عین حال مغرور در سال 1922 توطئه می کند تا همسرش را به خاطر منافع مالی به قتل برساند و پسر نوجوانش را متقاعد به کمک کند. اما اقدامات آنها عواقب ناخواسته ای دارد.
20 Days in Mariupol 2023,https://www.imdb.com/title/tt24082438,8.6,83,"['جنگی', 'مستند']",2023,['اوکراین'],"['انگلیسی', 'اوکراینی', 'روسی']",['Mstyslav Chernov'],"['Evgeniy Maloletka', 'Liudmyla Amelkina', 'Mstyslav Chernov']",با شروع تهاجم روسیه، تیمی از روزنامه نگاران اوکراینی که در شهر محاصره شده ماریوپل به دام افتاده اند، تلاش می کنند تا به کار خود برای مستندسازی جنایات جنگ ادامه دهند.
20 It Boy 2013,https://www.imdb.com/title/tt2186812,6.4,,"['عاشقانه', 'کمدی']",2013,['فرانسه'],"['انگلیسی', 'فرانسوی']",['David Moreau'],"['Charles Berling', 'Pierre Niney', 'Virginie Efira']","آلیس در مجله ""Rebelle"" کار می کند ، جایی که برای ارتقاء درجه باید موهایش را رها کند. وقتی بالتازار یو اس بی گمشده خود را به آلیس باز می گرداند ، ظاهر قرار ملاقات با فردی در سن نصف او به او کمک می کند. واقعی میشه؟"
2050 2020,https://www.imdb.com/title/tt1458902,5.6,,"['درام', 'علمی-تخیلی', 'فانتزی']",2020,"['ایالات متحده', 'چین']",['انگلیسی'],['Princeton Holt'],"['David Vaughn', 'Devin Fuller', 'Irina Abraham']",یک مرد خانواده که در تلاش است همه چیز را کنار هم نگه دارد ، یک سالن پنهان را کشف می کند که راه حلی را ارائه می دهد ... sexbots.
21 Jump Street 2012,https://www.imdb.com/title/tt1232829,7.2,69,"['اکشن', 'جنایی', 'کمدی']",2012,['ایالات متحده'],['انگلیسی'],"['Christopher Miller', 'Phil Lord']","['Channing Tatum', 'Ice Cube', 'Jonah Hill']",یک جفت پلیس ضعیف به یک دبیرستان محلی فرستاده می شوند تا با هم ترکیب شوند و یک حلقه مواد مخدر مصنوعی را نابود کنند.
22 Jump Street 2014,https://www.imdb.com/title/tt2294449,7,71,"['اکشن', 'جنایی', 'کمدی']",2014,['ایالات متحده'],['انگلیسی'],"['Christopher Miller', 'Phil Lord']","['Channing Tatum', 'Ice Cube', 'Jonah Hill']",پس از طی کردن راه خود در دبیرستان (دوبار)، تغییرات بزرگی برای افسران اشمیت و جنکو در انتظار زمانی است که در یک کالج محلی مخفیانه می روند.
